log(wage),educ,exper,tenure,female
1.131402081,11,2,0,1
1.175573333,12,22,2,1
1.098612289,11,2,0,0
1.791759469,8,44,28,0
1.667706857,12,7,2,0
2.1690537,16,9,8,0
2.420368129,18,15,7,0
1.609437912,12,5,3,1
1.280933819,12,26,4,1
2.900322106,17,22,21,0
1.832581464,16,8,2,1
2.095560938,13,3,0,1
2.171336859,12,15,0,0
1.704748092,12,18,3,0
3.100092323,12,31,15,0
2.852439099,16,14,0,0
2.014903021,12,10,0,1
2.363680203,13,16,10,1
1.280933819,12,13,0,1
1.504077397,12,36,6,1
1.928618669,12,11,4,1
2.137710396,12,29,13,0
1.845300224,16,9,9,1
-0.634878326,12,3,1,1
1.791759469,11,37,8,1
2.257587771,16,3,3,0
2.051556365,16,11,10,0
2.525728644,16,31,0,0
2.525728644,15,30,0,0
1.178654996,8,9,1,1
2.564949357,14,23,5,0
1.504077397,14,2,5,1
2.270061933,13,16,16,1
1.609437912,12,7,3,1
1.543298073,12,3,0,1
1.451613823,16,22,4,1
1.816452097,12,15,6,1
1.255616035,4,39,15,0
1.098612289,14,3,3,1
1.832581464,12,11,0,1
2.055404957,12,3,0,1
2.302585093,12,20,5,1
1.504077397,14,16,0,1
1.386294361,11,45,12,1
1.853168115,13,11,4,1
2.617395819,15,20,13,0
0.512823601,10,1,0,0
1.075002446,12,36,2,1
1.294727194,14,9,2,0
1.06471077,12,15,1,1
0.488580012,12,18,0,1
2.151762248,16,3,2,1
1.609437912,12,15,5,0
1.791759469,12,7,7,0
0.916290732,12,2,0,0
1.178654996,15,3,0,0
1.22377546,16,1,1,1
2.302585093,8,13,0,0
3.074081201,18,8,8,1
1.477048751,16,7,0,0
2.460443181,13,40,20,1
2.516889723,14,42,5,0
1.832581464,10,36,8,0
1.311031887,10,13,0,1
2.051556365,14,9,3,0
2.99473175,14,26,23,0
1.832581464,16,7,4,1
2.302585093,12,25,3,0
1.74221903,16,10,5,0
0.693147181,12,3,2,1
1.74221903,16,3,0,1
2.57108434,17,17,2,0
1.591273911,12,17,8,0
1.068153111,12,20,34,1
1.32175584,12,7,0,1
2.476538368,13,24,19,0
1.386294361,12,28,0,1
1.131402081,12,2,1,1
2.134166419,12,19,13,0
1.965712758,18,13,0,0
1.504077397,9,22,5,0
1.53686724,16,3,1,0
1.06471077,10,4,0,1
1.897619871,12,7,5,0
1.252762968,12,6,2,1
1.181727192,12,13,3,1
1.178654996,12,14,0,1
2.079441542,12,14,4,1
2.287471494,8,40,24,0
2.014903021,12,11,7,0
1.776645806,12,14,6,0
2.464703962,14,40,39,0
1.098612289,12,1,0,1
1.570697072,12,2,0,1
1.871802177,12,4,1,1
1.386294361,9,19,1,1
1.252762968,13,1,0,0
2.577181914,12,34,22,0
1.446918983,14,5,2,0
1.252762968,12,3,0,0
1.635105681,15,6,6,1
1.32175584,12,14,0,1
1.504077397,12,35,12,1
2.03208786,12,8,4,1
2.708050201,14,7,7,0
1.924248638,15,11,3,1
2.590017128,12,14,11,0
1.897619871,12,35,10,0
0.928219291,12,46,0,1
2.282382405,17,7,0,0
1.21491271,11,45,12,0
3.218075486,18,29,25,0
1.686398971,12,6,3,0
1.809926795,14,15,0,0
1.43508448,14,33,16,1
1.32175584,10,15,0,0
1.252762968,14,5,0,1
1.29198371,12,7,2,0
1.335001054,15,6,1,0
1.098612289,8,33,12,1
1.609437912,16,2,1,1
1.532556893,14,4,0,1
1.098612289,15,1,0,0
1.163150825,12,29,0,1
1.363537396,18,17,3,0
1.860974512,16,17,3,1
1.701105104,10,36,3,1
0.405465108,8,31,30,0
1.06471077,10,23,2,1
1.609437912,11,13,1,0
2.188295955,18,3,3,0
1.609437912,15,15,0,0
1.258460984,12,48,1,0
1.06471077,11,6,0,1
1.504077397,12,12,0,0
0.810930216,12,5,0,1
1.609437912,14,19,5,0
2.302585093,16,9,3,0
1.32175584,2,39,13,0
2.302585093,14,28,11,1
2.393339439,16,23,20,0
2.066862772,12,2,0,0
1.551808755,12,15,1,1
1.764730823,13,5,0,1
1.342864783,12,18,2,1
1.163150825,15,2,2,1
0.693147181,10,3,0,1
1.504077397,12,31,4,1
2.446685453,16,20,5,1
0.760805878,13,34,15,1
0.867100536,9,5,0,0
1.32175584,12,11,0,0
1.708377857,13,31,3,0
1.871802177,12,8,5,1
1.131402081,12,2,2,1
2.302585093,14,18,5,0
1.891604821,16,3,0,0
2.302585093,16,3,2,0
0.8372475,9,4,1,1
1.928618669,18,4,4,0
1.040276685,10,1,0,0
1.141033041,10,1,0,1
2.079441542,13,28,5,0
1.504077397,12,47,4,1
2.157559277,18,13,1,1
0.693147181,13,2,6,1
1.558144618,12,48,2,1
1.832581464,13,6,5,1
1.791759469,13,8,0,0
2.733067972,13,25,21,0
2.679650721,18,13,7,1
2.525728644,12,8,1,0
1.658228077,12,19,10,1
0.774727203,13,1,4,1
1.965712758,12,43,5,1
1.827769873,12,19,9,1
2.197224577,12,11,5,1
2.302585093,14,43,4,0
1.752672077,10,44,3,0
1.386294361,12,22,11,1
2.1690537,16,3,2,0
1.876406975,16,3,2,1
2.028148235,12,41,11,1
1.609437912,14,5,0,0
1.609437912,12,14,11,1
3.084658511,12,24,16,0
2.156402623,12,28,8,0
1.193922454,12,25,8,0
1.490654389,12,3,0,0
1.515127275,12,11,0,0
1.252762968,12,7,6,1
1.832581464,16,9,2,0
1.348073124,16,5,0,0
1.821318244,14,9,3,1
1.068153111,11,1,0,1
1.832581464,16,2,1,1
1.832581464,12,13,0,1
2.202764779,12,10,2,0
2.302585093,17,5,3,0
2.407845573,12,30,8,0
1.928618669,12,31,19,0
2.1690537,16,1,2,0
2.302585093,8,9,0,0
1.115141575,12,10,0,1
1.098612289,12,38,0,1
1.75785795,12,19,6,1
1.41098695,16,5,0,1
2.079441542,12,26,2,0
1.816452097,12,35,12,1
0.993251791,9,2,0,1
1.011600912,13,1,2,1
1.098612289,16,19,10,1
1.098612289,14,3,2,1
1.996059951,8,36,24,0
2.014903021,14,29,24,0
1.252762968,13,1,2,0
2.091864109,12,38,3,1
1.32175584,18,1,2,0
1.178654996,9,29,0,0
1.763016987,8,36,15,1
1.252762968,8,4,0,0
1.202972281,12,45,4,1
1.386294361,14,22,3,1
1.252762968,12,20,4,1
1.832581464,16,5,0,0
1.081805187,8,15,2,1
1.74221903,13,10,2,1
1.098612289,9,3,0,1
3.129388685,16,16,7,0
2.197224577,12,38,1,0
2.119863447,15,33,26,0
1.098612289,11,2,0,0
1.749199855,14,6,5,0
1.911022924,12,19,3,0
2.302585093,12,29,0,0
1.098612289,12,2,0,0
1.252762968,18,3,1,1
1.178654996,12,4,0,0
1.386294361,12,10,1,1
1.071583642,12,4,0,1
1.118414897,12,14,10,1
1.163150825,12,15,5,1
1.558144618,12,19,0,0
1.098612289,14,17,0,1
2.899221365,16,29,7,0
1.252762968,12,2,0,1
1.413423061,14,5,0,0
0.672944493,11,38,3,1
1.456286724,12,3,0,1
1.098612289,10,47,0,0
1.864080101,12,7,6,0
1.648658589,6,47,13,0
1.504077397,13,23,2,1
1.355835183,12,12,3,0
1.238374245,10,11,0,1
2.389679786,12,25,23,0
1.41098695,14,6,0,1
1.098612289,13,3,1,0
1.774952367,12,14,7,0
2.890371758,18,13,0,1
1.386294361,12,9,0,0
1.098612289,12,1,0,0
1.26694759,12,6,0,1
1.098612289,12,11,1,1
2.1690537,12,47,44,0
1.06471077,8,49,6,1
1.834180222,13,37,17,1
1.252762968,13,2,0,1
1.526056283,14,7,0,1
1.791759469,12,22,8,0
1.061256538,10,8,0,1
1.719188763,16,1,1,0
1.386294361,12,43,6,1
1.791759469,16,2,2,0
1.504077397,12,2,1,1
1.071583642,14,1,3,0
1.465567524,18,1,0,0
2.938632649,17,26,20,0
1.453953059,13,1,1,1
1.519513242,14,37,7,1
1.832581464,15,12,4,1
1.081805187,14,41,23,0
2.1690537,12,24,1,0
2.140066163,8,38,26,0
1.32175584,12,18,0,1
1.147402483,12,26,1,0
1.609437912,8,45,2,0
1.865629324,12,27,0,0
0.693147181,9,2,0,0
1.566530403,12,41,8,0
1.754403719,16,11,4,0
1.156881218,12,5,0,1
1.543298073,16,3,1,1
1.41098695,12,3,2,1
1.068153111,12,4,0,0
1.791759469,13,21,13,0
1.280933819,10,34,26,1
1.373715591,6,49,6,0
1.945910149,12,6,5,0
1.098612289,12,26,9,1
1.805004683,16,9,0,0
2.155244518,12,23,9,0
1.098612289,8,33,2,0
1.32175584,12,5,2,1
1.06471077,6,49,7,0
1.098612289,4,48,0,0
1.832581464,11,35,31,0
1.252762968,11,23,2,1
1.098612289,7,26,1,1
1.175573333,12,16,0,1
2.081938479,18,23,3,1
1.202972281,12,36,8,1
1.658228077,16,4,0,0
1.832581464,12,10,0,0
1.252762968,14,18,2,0
1.081805187,12,3,1,0
1.098612289,10,7,0,1
1.545432595,10,7,7,0
1.316408239,9,33,2,1
1.386294361,10,34,12,0
1.386294361,12,8,0,1
1.06471077,12,17,1,1
1.115141575,12,2,0,1
1.619388281,10,5,0,1
2.635479495,16,41,16,0
2.899221365,16,35,28,0
1.832581464,16,11,4,0
1.658228077,12,4,0,0
1.566530403,12,12,3,1
1.208960317,7,35,0,1
1.098612289,8,33,0,0
2.131796808,16,8,6,0
1.740466141,16,2,0,0
2.483238554,18,8,10,0
1.252762968,13,29,1,1
1.444563215,10,14,5,0
1.945910149,16,26,3,1
1.791759469,14,11,3,1
2.503073976,16,10,2,0
1.504077397,12,13,0,0
1.098612289,9,23,20,1
1.06471077,11,1,2,0
2.708050201,11,35,31,0
1.386294361,12,5,2,0
1.658228077,11,13,11,0
1.386294361,12,22,3,0
1.193922454,12,21,9,1
1.619388281,12,19,0,1
1.275362779,12,13,0,0
1.609437912,14,15,5,0
1.519513242,14,3,0,0
2.525728644,18,6,2,0
1.238374245,12,6,5,1
1.532556893,12,16,1,1
2.302585093,12,31,2,0
1.071583642,11,1,0,1
1.506297204,12,5,2,0
1.871802177,17,3,0,0
2.014903021,16,11,0,0
1.264126716,13,6,7,1
1.43508448,13,11,3,1
1.255616035,12,7,2,1
1.504077397,14,5,0,0
1.208960317,14,5,4,1
1.068153111,11,2,2,0
1.658228077,10,44,7,0
1.398716928,8,44,25,0
1.32175584,14,13,0,1
1.22377546,12,26,15,1
1.098612289,10,2,1,1
1.838961065,17,10,3,0
0.932164066,9,2,0,1
1.504077397,12,35,0,1
1.141033041,12,6,5,1
1.850028398,14,8,1,0
1.543298073,16,1,0,0
1.91692264,12,14,10,0
2.14358933,10,14,6,0
1.427916054,0,22,10,1
1.32175584,14,8,4,1
2.406945143,15,1,4,1
1.181727192,16,15,5,1
2.211565707,12,14,12,0
1.504077397,11,37,10,0
1.098612289,11,1,1,1
2.1690537,12,4,4,0
1.420695756,13,29,0,1
1.05431199,12,45,8,1
1.208960317,13,22,0,1
1.805004683,16,42,10,0
1.098612289,15,9,0,0
1.43508448,16,8,0,1
1.722766581,15,31,15,1
2.302585093,12,24,24,0
2.525728644,18,16,5,0
1.324418955,6,6,0,0
1.131402081,6,14,0,1
1.456286724,12,47,25,1
2.390595977,12,34,5,0
2.014903021,16,6,2,1
1.398716928,9,7,4,1
1.53686724,12,27,2,0
1.609437912,11,24,5,0
1.06471077,10,18,0,1
2.079441542,12,12,3,1
2.131796808,8,27,3,0
1.071583642,9,49,0,1
1.832581464,17,4,0,1
1.832581464,16,24,2,1
1.63119943,11,3,0,0
1.386294361,10,2,0,1
1.490654389,8,29,11,0
1.928618669,13,34,21,0
1.691939102,14,10,3,0
1.098612289,13,5,0,1
1.06471077,11,2,0,1
1.832581464,7,39,21,0
1.467874383,16,5,2,1
1.178654996,12,14,2,1
1.98237986,13,8,2,0
1.848454798,14,10,1,1
1.728109462,16,2,2,0
2.1690537,14,9,3,0
1.163150825,11,1,0,0
1.098612289,8,45,1,1
1.098612289,14,33,3,1
2.525728644,17,21,18,0
1.057790334,10,2,0,1
1.208960317,12,9,1,0
1.871802177,12,33,2,0
2.339880889,18,16,2,0
1.504077397,14,10,0,0
2.302585093,18,9,8,0
1.337629174,12,8,1,1
2.174751743,16,9,1,0
2.242835097,14,23,0,1
1.845300224,12,23,8,0
1.386294361,9,22,18,0
1.06471077,12,37,0,1
2.995732274,12,22,4,0
2.420368129,17,28,25,0
1.252762968,12,14,0,1
1.791759469,15,19,4,1
2.66583836,17,10,9,0
1.850028398,16,25,0,0
1.26694759,12,21,0,1
1.098612289,15,32,0,0
1.504077397,16,21,10,0
1.891604821,12,36,0,1
2.230014421,15,2,2,0
1.098612289,12,11,0,1
1.178654996,12,40,2,1
0.405465108,12,11,1,1
1.774952367,12,9,7,1
2.079441542,16,23,4,0
1.06471077,11,1,0,1
1.190887553,14,30,13,0
1.871802177,14,41,33,0
1.386294361,13,6,0,1
1.791759469,14,11,0,0
1.40609697,12,43,17,1
1.32175584,12,39,2,1
1.115141575,8,50,24,1
1.252762968,12,26,20,1
1.071583642,3,51,30,0
1.504077397,11,3,9,0
1.208960317,15,3,1,1
1.783391188,11,15,9,0
2.079441542,12,17,6,0
1.098612289,4,36,0,0
1.609437912,9,31,9,0
1.704748092,12,9,4,0
0.974559676,12,42,10,1
1.098612289,11,3,0,1
1.504077397,12,37,14,1
2.862200881,16,23,22,0
2.101692188,13,21,5,0
2.207174925,15,11,12,0
2.469792986,16,35,13,0
1.178654996,12,42,0,1
1.504077397,12,3,0,0
1.504077397,12,13,0,0
1.311031887,9,14,7,0
1.871802177,10,14,11,0
1.06471077,12,39,1,1
1.722766581,11,11,8,0
0.802001594,8,28,3,0
1.609437912,6,18,0,1
2.119863447,16,6,2,0
1.06471077,12,26,1,1
1.832581464,12,21,6,0
1.515127275,16,34,2,0
1.187843414,12,17,2,1
0.832909102,10,2,0,1
1.193922454,13,5,0,1
1.147402483,13,1,0,1
2.525728644,14,40,30,0
1.638996733,16,39,21,1
1.141033041,10,1,1,0
1.981001469,12,14,5,0
1.06471077,12,2,2,1
0.559615788,11,2,1,0
1.061256538,0,42,0,1
1.06471077,5,34,0,1
2.8741294,16,10,3,0
1.832581464,16,4,3,0
0.955511408,9,4,0,0
1.891604821,15,21,3,1
1.252762968,12,31,3,1
1.871802177,12,20,14,0
1.098612289,12,36,1,1
1.477048751,13,7,0,0
2.302585093,12,15,0,0
1.599387538,7,25,17,0
2.197224577,17,7,0,1
0.357674408,12,17,0,1
1.124929572,12,3,1,0
2.233235007,14,12,11,0
2.014903021,12,18,5,0
1.558144618,13,47,1,0
1.731655562,12,2,0,0
2.708050201,16,14,2,1
0.819779823,10,2,0,1
1.541159088,15,13,18,0
2.4475509,16,5,1,0
1.252762968,14,5,4,1
